Name ,State,URL
New York City Public Schools,NY,http://schools.nyc.gov/Offices/District75/Parent+Services/CCSE/Meetings/default.htm
Los Angeles Unified,CA,http://laschoolboard.org/event/2011/10/27/month
City of Chicago SD 299,IL,http://www.cpsboe.org/meetings/past-meetings
Dade,FL,http://pdfs.dadeschools.net/Bdarch/2014/
Clark County School District,NV,http://ccsd.net/trustees/meeting-agendas/
Broward,FL,http://eagenda3.broward.k12.fl.us/cgi-bin/WebObjects/eAgenda.woa/wa/displayCalendar
Houston ISD,TX,http://www.houstonisd.org/domain/7947
Hillsborough,FL,http://www2.sdhc.k12.fl.us/boardagenda2010/search/
Hawaii Department of Education,HI,https://lilinote.k12.hi.us/STATE/BOE/Minutes.nsf/ebb43af14ca5cdb30a2565cb006622a8?OpenView
Orange,FL,http://www.boarddocs.com/fla/orcpsfl/Board.nsf/Public
Palm Beach,FL,http://www.palmbeach.k12.fl.us/agenda/agendatoc.htm
Fairfax Co Pblc Schs,VA,http://www.fcps.edu/schlbd/meetings/minutesregular.shtml
Philadelphia City SD,PA,http://webgui.phila.k12.pa.us/offices/m/management-and-budget/weighted-student-funding/new-page/wsf-committee-meetings
Gwinnett County,GA,http://www.gwinnettcounty.com/portal/gwinnett/Departments/CountyClerk/BoardsandAuthorities/?bacview=meetings&committeeId=52
Dallas ISD,TX,http://www.dallasisd.org//site/Default.aspx?PageID=663
Wake County Schools,NC,http://www.wcpss.net/Board/minutes/index.html
Montgomery County Public Schools,MD,http://www.montgomeryschoolsmd.org/boe/meetings/minutes_agendas.shtm#year
Charlotte-Mecklenburg Schools,NC,http://www.cms.k12.nc.us/boe/Pages/SchoolBoardMeetings.aspx
San Diego Unified,CA,http://www.sandi.net/page/3248
Prince Georges County Public Schools,MD,http://www.boarddocs.com/mabe/pgcps/Board.nsf/Public
Duval,FL,http://dcps.duvalschools.org/Page/9874
Memphis,TN,http://www.scsk12.org/uf/board/minutes.php?mylink=323
Cobb County,GA,https://portal.cobbk12.org/BoardMeetingAgenda/main.aspx
Cypress-Fairbanks ISD,TX,http://www.cfisd.net/dates.htm
Baltimore County Public Schools,MD,http://www.bcps.org/board/minutes/
Pinellas,FL,http://www.pinellasclerk.org/aspInclude2/ASPInclude.asp?pageName=bdmeet.htm
Dekalb County,GA,http://agenda.dekalbcountyga.gov/DocDepot7/Query.Aspx
Jefferson County,KY,http://portal.ksba.org/public/Agency.aspx?PublicAgencyID=89&AgencyTypeID=1
Northside ISD,TX,http://www.northsideisd.us/vnews/display.v/ART/4b2269e521bee
Albuquerque Public Schools,NM,http://www.aps.edu/about-us/board/about-the-board/meeting-archives/meetingsfolder_view?past:int=100&amp;-C=
Polk,FL,http://www.polk-fl.net/districtinfo/boardmembers/meetings/MinutesTOC.htm
Fulton County,GA,http://www.boarddocs.com/ga/fcss/Board.nsf/Public
Jefferson County School District No. R-1,CO,http://www.jeffcopublicschools.org/board/minutes.html
Austin ISD,TX,https://v3.boardbook.org/Public/PublicHome.aspx?ak=0227901
Long Beach Unified,CA,http://www.lbschools.net/Main_Offices/Board_of_Education/agenda-minutes.cfm
Baltimore City Public Schools,MD,http://www.baltimorecityschools.org/Page/961
Lee,FL,http://www.leeschools.net/board/board_minutes/
Fort Worth ISD,TX,http://www.fwisd.org/pages/FWISD/Board_of_Education/3485792794790647890/Agenda_-_Regular_Meetings
Milwaukee School District,WI,http://mpsportal.milwaukee.k12.wi.us/portal/server.pt?open=512&objID=336&PageID=38453&cached=true&mode=2&userID=2e
Prince Wm Co Pblc Schs,VA,http://pwcs.schoolfusion.us/modules/cms/pages.phtml?pageid=183194&sessionid=29c713a7108088c67137960216a808e6
